N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
186,KBSTAR 200,"41,925",85,-0.20%,0,"12,158","29,000",0.01,"150,197",N/A,N/A,
187,TIGER 단기통안채,"100,135",10,+0.01%,0,"12,155","12,139",0.97,"2,814",N/A,N/A,
188,다우기술,"26,950",50,+0.19%,500,"12,092","44,867",22.22,"150,695",N/A,14.62,
189,한미반도체,"24,200",100,+0.41%,200,"11,969","49,460",6.23,"401,788",25.08,21.03,
190,이노션,"59,700",300,-0.50%,500,"11,940","20,000",30.37,"33,035",18.81,8.28,
191,한올바이오파마,"22,700",250,-1.09%,500,"11,859","52,241",6.20,"194,239",60.05,12.29,
192,SK디스커버리,"61,100","4,100",-6.29%,"5,000","11,632","19,038",10.60,"136,790",4.67,14.71,
193,KODEX 단기채권PLUS,"103,030",0,0.00%,0,"11,573","11,233",0.00,"4,475",N/A,N/A,
194,지누스,"80,000","1,600",-1.96%,500,"11,525","14,407",21.96,"47,173",27.47,11.61,
195,KODEX 인버스,"3,965",15,+0.38%,0,"11,467","289,200",1.59,"29,988,796",N/A,N/A,
196,LG전자우,"66,500","1,600",-2.35%,"5,000","11,429","17,186",39.93,"142,822",6.11,N/A,
197,아시아나항공,"15,250",350,-2.24%,"5,000","11,348","74,412",19.68,"623,112",-1.32,-90.67,
198,영진약품,"6,150",60,-0.97%,500,"11,248","182,893",4.44,"429,847","-6,150.00",-0.12,
199,화승엔터프라이즈,"18,500","1,400",+8.19%,500,"11,201","60,545",3.72,"908,776",27.95,9.26,
200,한일시멘트,"161,500","20,500",+14.54%,"5,000","11,186","6,926",2.56,"56,080",9.00,N/A,
